id,name
2975,Laurence Fishburne
6384,Keanu Reeves
530,Carrie-Anne Moss
1667883,Milo Gibson
1232548,Abigail Hawk
1107983,Martin Luther King
52057,Obba Babatundé
110380,Colin Powell
3084,Marlon Brando
3087,Robert Duvall
8349,Martin Sheen
1776,Francis Ford Coppola
37872,Eleanor Coppola
8328,John Milius
5141,Heather Langenkamp
5139,Robert Englund
5140,Wes Craven
64,Gary Oldman
564,Richard Linklater
584,Philip K. Dick
32233,Tommy Pallotta
529,Guy Pearce
532,Joe Pantoliano
1954,Billy Zane
20959,Louis Gossett Jr.
11521,Kristin Minter
37625,Andrew Garfield
65731,Sam Worthington
4937,Vince Vaughn
180659,Rosa Parks
1280183,Coretta Scott King
181934,Al Sharpton
496175,Carmelo Anthony
1006651,John Lewis
2787630,Valentin Zorin
89289,Jesse Jackson
2102583,Andrew Cohen
73988,Lyndon B. Johnson
21111,John F. Kennedy
2803017,Arthur John Birch
2803001,Haroldson Lafayette Hunt
2954,Jeffrey Wright
33663,Donald Trump
2301996,Mike Pence
937663,Neil Amdur
1931175,Bob Beamon
2662887,Ralph Boston
1700943,Jelani Cobb
938972,Angela Davis
1236595,Henry Louis Gates Jr.
1209864,Yoruba Richen
2685726,Delbert Hunt
2764421,Marquette Folley
8654,Matthew Modine
104053,Michele Greene
2535,Vivica A. Fox
225620,Rudolph Moise
1038,Jodie Foster
4173,Anthony Hopkins
349,Scott Glenn
4587,Halle Berry
9780,Angela Bassett
19011,George W. Bush
146687,Tony Blair
74266,Dick Cheney
1122373,Marion Barry Jr.
1122374,Chuck Brown
1122375,Lewis Franklin
9857,Karl Malden
5248,Lee J. Cobb
1158,Al Pacino
3085,James Caan
1662371,Jay Sebring
13565,Steve McQueen
82702,Michael Jackson
65605,Muhammad Ali
47775,Marc Anthony
14386,Beyoncé
84933,Mary J. Blige
4483,Dustin Hoffman
13570,Samuel Goldwyn
3417,Tony Goldwyn
380,Robert De Niro
106179,Anthony Franciosa
10190,Jill St. John
5250,Jack Klugman
12132,Michael Rooker
2130,Cary Elwes
932719,Jeff Gordon
3810,Javier Bardem
72305,Lesley Manville
44735,Jesse Eisenberg
3037,Richard Dreyfuss
4951,Robert Dalva
8487,Gregory Peck
8490,John Megna
6838,Frank Overton
3203,Russell Means
7862,Floyd Red Crow Westerman
11367,Bradley Whitford
31028,Richard Schiff
3266,Joe Mantegna
36059,Joanna Pacula
5606,Sissy Spacek
5632,Jack Fisk
1179102,Kathleen Kennedy
21010,Alexandra Hay
101032,Rod McCary
928944,Coleman Barks
2022250,Robert Bly
9979,Peter Coyote
514,Jack Nicholson
6193,Leonardo DiCaprio
1892,Matt Damon
7796,Illeana Douglas
851784,Mackenzie Foy
89819,Zachary Gordon
125025,Joey King
122889,Dane DeHaan
84225,Gil Birmingham
2641,Martin Landau
72028,Arye Gross
92029,Gabriel Bologna
4724,Kevin Bacon
66743,Matt Bomer
1461,George Clooney
2098136,Brian Becker
2098137,Richard Becker
2098138,Blase Bonpane
1,George Lucas
7879,John Lasseter
5064,Meryl Streep
488,Steven Spielberg
2559324,Beth Lane
2559325,Lea Madda
27888,Raúl Juliá
2630,Nastassja Kinski
2303,Wim Wenders
5293,Willem Dafoe
6159,Ron Howard
1032,Martin Scorsese
1150,Brian De Palma
1243,Woody Allen
510,Tim Burton
55983,Jim Henson
7908,Frank Oz
1236773,Jane Henson
134,Jamie Foxx
2157,Robin Williams
1006721,Charles Scorsese
11483,Catherine Scorsese
3083483,Nathalie Labarthe
3,Harrison Ford
14782,Andrew Robinson
190,Clint Eastwood
147,Michael Madsen
2378014,Scott Allie
2046262,Julie Belle
1381997,Kurt Busiek
11784,Tom Atkins
78021,Lloyd Kaufman
16847,Eli Roth
2714,Lance Henriksen
18315,Monica Keena
216108,The Amazing Johnathan
97724,Steve Johnson
4955,Dario Argento
27995,Barbara Crampton
102429,Roger Corman
102334,Bruce D. Clark
44762,Forrest J. Ackerman
100360,John Zacherle
62923,Ray Bradbury
62596,Kane Hodder
64722,John Carl Buechler
11357,Bruce Campbell
16178,Rick Baker
20903,Josh Keaton
22082,Lacey Chabert
19506,James Arnold Taylor
11770,John Carpenter
515,Glenn Close
43774,Daniel Roebuck
99596,Bob Burns
61956,Chuck Williams
113,Christopher Lee
15175,William Friedkin
3027,Stephen King
131120,Henry Strozier
1415341,Kazuhiro Tsuji
1267653,Chet Zar
1003,Jean Reno
524,Natalie Portman
3894,Christian Bale
1810,Heath Ledger
3895,Michael Caine
10980,Daniel Radcliffe
10989,Rupert Grint
10990,Emma Watson
219479,Criss Angel
1101349,Steve Aoki
1407495,Miles Brown
14538,Don Phillips
7779,Sean Daniel
1820819,Kent Jones
569,Ethan Hawke
1146,Julie Delpy
1117999,Xenia Kalogeropoulou
1275641,Panos Koronis
46300,Alexander Nathan Etel
27889,Stephan Elliott
1331,Hugo Weaving
7187,Richard Donner
57371,Jeff Cohen
3034,Corey Feldman
116474,Kevin Alejandro
203516,Mariana Klaveno
13920,Mimi Rogers
8659,John Terry
41381,Sadie Frost
1151957,Sophie Kennedy Clark
21596,Shannon Elizabeth
8658,Ed O'Ross
56097,Alki David
2048,Gary Busey
7218,Kristanna Loken
11160,Danny Trejo
25308,Vanessa Angel
162610,Fred Stoller
20805,Louise Lombard
940,John Shrapnel
132206,Stephen Moore
343,Taryn Manning
820,Edward Furlong
29459,Patrick Bergin
198642,Griffith Brewer
41746,Serge Houde
521,Michael J. Fox
1062,Christopher Lloyd
1063,Lea Thompson
57829,Anthony LaPaglia
68750,Robert Townsend
6861,Andre Braugher
36811,Nick Cannon
2395,Whoopi Goldberg
1870421,Collie Buddz
44796,Franklyn Ajaye
77896,Bill Bellamy
9789,Robert Altman
6449,Warren Beatty
777,Judge Reinhold
2266,Stephi Lineburg
7169,Alan King
78729,Nathan Lane
438859,Susan Brown
120886,Donna Air
1112923,Ozwald Boateng
1681425,Lydia Bright
2710,James Cameron
8691,Zoe Saldana
1357,Christopher Doyle
531,Danny Elfman
4492,Philip Baker Hall
1408141,Fred Korematsu
116341,Bill Clinton
54422,Tupac Shakur
2391,Michael Dorn
1753,Nichelle Nichols
3635,Elizabeth Taylor
11510,Macaulay Culkin
59785,Fat Joe
84932,Jay-Z
16450,Sean Combs
2149806,Gus Hall
100709,Junior Wells
1386798,Joseph McCarthy
13348,Howard Hughes
1247141,Harry S. Truman
2802990,Jean Paul Getty
117418,Mahalia Jackson
1188876,Horace Clarence Boyer
61399,Mike Ditka
1232728,Jim McMahon
1723195,Mike Singletary
1050881,Jacqueline Kennedy
57738,Samuel Labarthe
1141815,Charles de Gaulle
1204877,André Malraux
1074129,Fred Rogers
2066306,François Scarborough Clemmons
173729,Yo-Yo Ma
7571,Blair Brown
84378,Nick Fraser
1420,Robert Drew
2102600,Jill Drew
106843,Buzz Aldrin
87485,Neil Armstrong
2020883,Alex Gorosh
225009,Pablo Larraín
6431,Darren Aronofsky
1670479,Abbas Abdi
1625013,Mahmoud Ahmadinejad
84384,Osama bin Laden
1103791,Joan Agajanian Quinn
95678,Jean-Michel Basquiat
2392906,Irving Blum
1184462,Ben Maccabee
25072,Oscar Isaac
3910,Frances McDormand
1241,John Turturro
72129,Jennifer Lawrence
10943,Francis Lawrence
27972,Josh Hutcherson
1145892,Ed Koch
1807640,Jane Jacobs
227811,Herschel Walker
1222706,Skip Bayless
1167702,Bruno Sammartino
1167703,Bob Backlund
557911,Robert Kennedy Jr
7447,Alec Baldwin
1748,William Shatner
11161,Tom Savini
2323039,Catherine Mercado-Muñiz
2339577,Carmen Yulín Cruz
10127,Jon Voight
1229169,Roger Ailes
112219,Michael Hickenbottom
56446,John Cena
1200537,Edward Fatu
1816204,Frederick Oberlander
1816207,Tevfik Arif
151043,Randy Orton
77120,Steve Austin
2569912,Liane Rudolph
2601848,Pyotr Tolstoy
1173567,Vladimir Pozner jr.
21216,Kim Delaney
58792,Jack Scalia
105626,Alan Rachins
16620,Hulk Hogan
2161106,Sebastian Gorka
2161107,Raheem Kassam
2161104,Corey Lewandowski
2255261,Michel Zlotowski
4960,Charles Bronson
15753,Jill Ireland
5469,Ralph Fiennes
2398868,Taghi Amirani
3203938,Farhad Diba
567335,Chris Benoit
115788,Paul Michael Lévesque
2189100,Moon Jae-in
1671675,Yuna Kim
1644623,Ahn Jung-hwan
937664,Abraham Beame
937665,Bob Bright
2791669,Erika Andiola
2791670,Bob Bland
1262488,Emicida
10055,Fernanda Montenegro
81724,Zeca Pagodinho
16431,Sam Elliott
2203,Neal McDonough
2059,Adam Baldwin
7132,Vincent D'Onofrio
1357571,Mike Chunn
1357572,Nick D'Angelo
1357573,Kristine Fuemana
21278,Alan Alda
13724,Jane Alexander
64825,Harry Hamlin
175981,Linda Doucett
21246,Corbin Bernsen
94814,Susan Dey
16476,Larry Drake
562922,Christian Keyes
21215,Elise Neal
2654014,Mariah Robinson
2673964,Arie Thompson
21563,Corin Nemec
1234,Tara Reid
2939038,Sydney Malakeh
139,Uma Thurman
140,Lucy Liu
58924,Clifton Powell
21355,DMX
1922617,Joy Rovaris
587035,Nadji Jeter
479206,Demetria McKinney
154382,Jazsmin Lewis
31134,Darrin Henson
74613,Terri J. Vaughn
2545,Lawrence Bender
138,Quentin Tarantino
141,David Carradine
1220781,Shelly Altman
115002,John Aniston
88620,Lauren Collins
19961,Nina Dobrev
180986,Cassie Steele
1142230,Jessica Geneus
105762,Jimmy Jean-Louis
1142232,Soledad Elizabeth Jean
13,Albert Brooks
2406,Mathieu Kassovitz
3116407,Clovis Goux
123337,B. Ruby Rich
5049,John Hurt
10774,Anne Bancroft
39187,Olivia Colman
34546,Mark Gatiss
9560,Ellen Burstyn
12021,Mia Farrow
18248,Mary-Louise Parker
59219,Kyle Gallner
15675,Alison Elliott
9825,Saffron Burrows
1115103,Joseph Kelly
1137,Juliette Binoche
33181,Jimmy Smits
63611,Nickolas Grace
53574,Eric Thal
16217,Lynn Whitfield
10696,Famke Janssen
10690,Anna Paquin
1160,Michelle Pfeiffer
1813,Anne Hathaway
37153,Zoë Kravitz
70243,Eartha Kitt
15973,Julie Newmar
16108,Lee Meriwether
8891,John Travolta
44038,Nancy Allen
1121437,Leslie Felperin
35705,Regina Hall
143242,Terrence Jenkins
174837,Yolanda Adams
56323,Tina Fey
78577,Graham Norton
3223,Robert Downey Jr.
16828,Chris Evans
103,Mark Ruffalo
1189929,Condoleezza Rice
7904,Billy Crystal
2801284,Anthony Amsterdam
1220601,John Chancellor
1066763,Darrell Royal
8261,Willie Nelson
50707,Ed Marinaro
1322032,John Ashcroft
1322033,Bob Brenly
1322034,Scott Brosius
2203808,Sérgio Vieira de Mello
1220273,David Cameron
2134341,Theresa May
1442410,Trevor Phillips
1442411,Nigel Farage
1306064,Princess Diana of Wales
174981,Prince Charles of Edinburgh
558240,Queen Elizabeth II of the United Kingdom
28626,Arielle Dombasle
3614,Michel Houellebecq
2352,Jean-Jacques Annaud
37759,Kathy Burke
20056,Keith Allen
2330903,Amir Amor
32377,Enrico Maria Salerno
9762,Jean Sorel
1936,Martin Balsam
5247,John Fiedler
30233,Rosalind Russell
19550,Melvyn Douglas
80237,Binnie Barnes
1159,Steven Bauer
39996,Sidney Lumet
1151,Martin Bregman
2057865,AnnaRose King
1778612,Ted Tremper
1848881,Becky Yamamoto
5682,Anouk Aimée
44556,Richard Anconina
20234,Fanny Ardant
16896,James Garner
4786,Richard Attenborough
15186,Bill Hickman
14053,Harry Kleiner
69751,Charley Boorman
23920,Chad McQueen
19429,Bruce Lee
18897,Jackie Chan
62410,Sammo Hung
1227278,Siedah Garrett
2636676,David Williams
134710,Pat Dade
134711,Amy Smallman
2687948,Isaiah Sanders
108881,Brad Buxer
926,Ola Ray
1905,Vincent Price
4610,John Landis
10750,Sheryl Crow
1234966,Greg Phillinganes
2426206,Danny Wu
2284427,Charles Thomson
5657,Anjelica Huston
19178,Dick Shawn
29292,Isaiah Sanders
18793,Kieran Culkin
110001,Phil Collins
54421,Janet Jackson
122750,Leslie Uggams
109897,Ethel Merman
70089,Imogene Coca
6352,Jane Fonda
13301,Quincy Jones
1487,Bob Dylan
1201284,Jacques Peretti
140567,Donny Osmond
2583773,J Randall Taraborelli
20156,Sammy Davis Jr.
4347,Frank Sinatra
4299,Dean Martin
37934,André Benjamin
15310,Anthony Kiedis
12207,Kylie Minogue
56367,Naomi Campbell
200,Nancy Cartwright
45042,Adam Ant
553721,Nick Ashford
1789239,Renaldo Benson
27011,Vanessa Williams
8851,Whitney Houston
543105,Ella Fitzgerald
990578,Rocky Marciano
1056814,Chris Dundee
107375,Joe Frazier
2712640,Mark Holden
65606,George Foreman
87919,Mark Calaway
928391,Marty Lunde
87496,Daddy Yankee
2550161,Bad Bunny
5723,John Leguizamo
63522,Sofía Vergara
94759,Gloria Estefan
11695,Lucas Foster
893,Tony Scott
4723,Brian Helgeland
4720,Kanye West
1610514,Tina Knowles
1214573,Serena Williams
93527,Kelly Rowland
968660,Nicki Minaj
197315,Drake
200624,Michelle Williams
119589,Donald Glover
1008292,Kendrick Lamar
9030,Thandiwe Newton
2178,Forest Whitaker
104779,Nas
81129,Chris Martin
81130,Guy Berryman
81131,Jon Buckland
81132,Will Champion
102786,Barack Obama
964843,Michelle Obama
198,Dan Castellaneta
167662,Ryan Seacrest
1564846,Auli'i Cravalho
1473281,James Monroe Iglehart
62644,50 Cent
32362,Jon Bon Jovi
1395597,Brandi Carlile
1392252,Barry Michael Cooper
11370,Elton John
108551,Anastacia
56683,Bryan Adams
11701,Angelina Jolie
1658802,Andra Day
72208,Alicia Keys
3284,Bruce Springsteen
18746,Stevie Wonder
2585,Eric Clapton
41686,Neil Patrick Harris
1215539,Lara Spencer
212208,Taylor Swift
1428,Mick Jagger
1025375,Wiz Khalifa
73931,Bette Midler
142439,Emmett Kelly
109404,Vito Russo
1657836,Cleve Jones
863,Orson Bean
39015,Eileen Brennan
707,Dan Aykroyd
11850,Candice Bergen
9274,James Brolin
19803,Leonardo Sbaraglia
1084298,Alfredo Casero
100140,Daniel Rabinovich
35,Sally Field
21399,Ron Silver
4512,James Woods
4513,Elizabeth McGovern
4430,Sharon Stone
4517,Joe Pesci
14702,Cathy Moriarty
4690,Christopher Walken
3096,John Cazale
11477,Ray Liotta
73421,Joaquin Phoenix
1545693,Zazie Beetz
819,Edward Norton
63,Milla Jovovich
1259,Ennio Morricone
19665,John Boorman
11478,Lorraine Bracco
67773,Steve Martin
3092,Diane Keaton
519,Martin Short
73641,Christiane Amanpour
1202593,Neil Barnard
33684,Bono
138986,Tony Bennett
53397,Christina Aguilera
85564,Andrea Bocelli
61110,Fred Armisen
4959,Claudia Cardinale
78934,Betsy Blair
33741,Rita Hayworth
70985,Gig Young
326,Kim Basinger
1747292,Robert Board
50967,Doug McClure
93655,Guy Stockwell
940155,Alfred Drake
86104,Patricia Morison
231773,Julie Wilson
32749,Alex Diakun
99,Amanda Plummer
6804,Graham Greene
69302,Litefoot
65529,Irene Bedard
113674,Victoria Alonso
1121,Benicio del Toro
543530,Dave Bautista
234352,Margot Robbie
17605,Idris Elba
4027,Frank Darabont
1223867,Robert Kirkman
46348,Denise M. Huth
15110,Brooke Shields
3026,Rob Reiner
32,Robin Wright
2127,James Wan
2128,Leigh Whannell
2675,Darren Lynn Bousman
29704,Geoffrey Moore
1913149,Ambra Moore
15344,J.J. Abrams
932718,Tony Stewart
204415,Jimmie Johnson
1238314,Kurt Busch
2744,Carmen Maura
3131,Antonio Banderas
98357,Pilar López de Ayala
34902,Jane Horrocks
123071,Tom Beard
880,Ben Affleck
73968,Henry Cavill
90633,Gal Gadot
2090,Kirk Douglas
18972,Danny Masterson
2047,Danny Glover
155890,Julie Garfield
2210813,Ellen Adler
2879828,Joseph Bernard
70899,Amara Zaragoza
42626,Trent Ford
192,Morgan Freeman
287,Brad Pitt
12052,Gwyneth Paltrow
26009,Gail O'Grady
1067583,Suzanne Happ
33,Gary Sinise
5149,Bonnie Hunt
10427,Anne Archer
781,Paul Reiser
2144,Tobin Bell
2505,James Cromwell
8213,Sam Robards
54693,Emma Stone
19492,Viola Davis
6944,Octavia Spencer
76184,Bryan Marshall
75781,John Turner
30672,Sandor Elès
184951,Harry Baird
1183966,Angus Duncan
45002,Angel Tompkins
20861,Heidi Brühl
39770,Adam Roarke
34721,Larry Bishop
83908,Daniel Massey
8499,William Windom
8857,Debbie Reynolds
15395,Maurice Ronet
56890,Malcolm McDowell
46393,Roseanne Barr
82128,Wesley Clark
1353815,Dr. Diane Ravitch
1353816,Dr. Linda Darling-Hammond
20212,Dermot Mulroney
41249,Tess Harper
21818,Lesley Ann Warren
12967,Swoosie Kurtz
13567,Ann-Margret
25834,Leslie Hope
118764,Paulo Pires
36281,Imanol Arias
1189209,Woody Guthrie
2993220,Rick Sharp
3199207,Jerry Dealey
3199208,Barry Ernest
1204293,J. Allen Hynek
2027993,Philip J. Klass
27116,Kevin Conway
31,Tom Hanks
1066777,Mumia Abu-Jamal
65013,Rubin 'Hurricane' Carter
4808,Giancarlo Esposito
67315,Tenzin Gyatso
2734157,Xiaoming Zhu
2734158,Shamar Rinpoche
2045089,Jeanmarie Simpson
4687,Patricia Arquette
2045090,Joyce Julianne Auer
7071,Louise Fletcher
518,Danny DeVito
10409,Shelley Duvall
7077,Scatman Crothers
3391,Kathleen Turner
117075,Henry Jaglom
34947,Kevin Conroy
1262612,Neal Adams
21200,Will Arnett
2282,Ben Kingsley
24045,Joseph Gordon-Levitt
3899,Ken Watanabe
21007,Jonah Hill
15831,Frank Welker
16418,Casey Kasem
27319,Christoph Waltz
9261,Frank Abagnale Jr.
19498,Jon Bernthal
3197,Tom Sizemore
12833,Edward Burns
53,Peter Stormare
28782,Monica Bellucci
280,Terry Gilliam
10297,Matthew McConaughey
83002,Jessica Chastain
11665,Michael Angarano
2171,Griffin Dunne
15864,Clarence Williams III
176557,Mark Kassen
19453,Tom Bower
17696,Kathryn Hahn
4600,Joe Dante
7166,Kevin Pollak
10367,John Waters
1141310,Joe Dietl
566154,Bruce Daniels
4491,Jennifer Aniston
1229,Jeff Bridges
39012,Peter Bogdanovich
81316,Reid Scott
